,acelZ,rearBrakeP
174.0,0.8621826171875,5.82725
174.025,0.8740234375,5.941325
174.05,0.871337890625,6.0554
174.075,0.9024658203125,5.966675000000051
174.1,0.9248046875,5.877950000000001
174.125,0.9066162109375,5.954
174.15,0.9354248046875,6.03005
174.175,0.9649658203125,5.9920249999999795
174.2,0.90673828125,5.954
174.225,0.8905029296875,6.03005
174.25,0.90869140625,6.1061000000000005
174.275,0.8890380859375,6.042725
174.3,0.905517578125,5.979350000000001
174.325,0.92333984375,5.877950000000058
174.35,0.9139404296875,5.776549999999999
174.375,0.934814453125,5.763875
174.4,0.9346923828125,5.7512
174.425,0.8994140625,5.763875000000007
174.45,0.9085693359375,5.776549999999999
174.475,0.8837890625,5.789225000000001
174.5,0.90283203125,5.801900000000001
174.525,0.8399658203125,5.915975
174.55,0.8453369140625,6.03005
174.575,0.873291015625,5.928650000000057
174.6,0.850830078125,5.82725
174.625,0.9237060546875,5.915975
174.65,0.9202880859375,6.004700000000001
174.675,0.9307861328125,5.903299999999942
174.7,0.877197265625,5.801900000000001
174.725,0.9736328125,5.72585
174.75,0.9422607421875,5.6498
174.775,0.949462890625,5.6498
174.8,0.9136962890625,5.6498
174.825,0.9395751953125,5.713174999999965
174.85,0.9149169921875,5.776549999999999
174.875,0.9049072265625,5.72585
174.9,0.902587890625,5.6751499999999995
174.925,0.8839111328125,5.738525000000036
174.95,0.9154052734375,5.801900000000001
174.975,0.9111328125,5.776549999999999
175.0,0.9102783203125,5.7512
175.025,0.902099609375,5.713175000000001
175.05,0.96484375,5.6751499999999995
175.075,0.9381103515625,5.839924999999906
175.1,0.9381103515625,6.004700000000001
175.125,0.9293212890625,5.979350000000001
175.15,0.895263671875,5.954
175.175,0.8404541015625,5.928649999999986
175.2,0.8951416015625,5.903300000000001
175.225,0.8663330078125,5.903300000000001
175.25,0.8116455078125,5.903300000000001
175.275,0.824951171875,5.877950000000001
175.3,0.8544921875,5.8526
175.325,0.8779296875,5.8526
175.35,0.8709716796875,5.8526
175.375,0.904052734375,5.789225000000001
175.4,0.912841796875,5.72585
175.425,0.9146728515625,5.72585
175.45,0.9197998046875,5.72585
175.475,0.923095703125,5.700500000000001
175.5,0.8994140625,5.6751499999999995
175.525,0.960693359375,5.662475
175.55,0.928466796875,5.6498
175.575,0.9019775390625,5.662474999999993
175.6,0.8753662109375,5.6751499999999995
175.625,0.9029541015625,5.8145750000000005
175.65,0.8994140625,5.954
175.675,0.945556640625,5.954
175.7,0.918212890625,5.954
175.725,0.940673828125,5.954
175.75,0.9136962890625,5.954
175.775,0.9085693359375,5.941325
175.8,0.910400390625,5.92865
175.825,0.88916015625,5.903300000000015
175.85,0.9005126953125,5.877950000000001
175.875,0.9063720703125,5.865275
175.9,0.88232421875,5.8526
175.925,0.905029296875,5.827249999999986
175.95,0.9169921875,5.801900000000001
175.975,0.913818359375,5.776549999999999
176.0,0.921630859375,5.7512
176.025,0.853759765625,5.72585
176.05,0.8970947265625,5.700500000000001
